,Date,Crime type,County,Amount
226,2003Q2,Drug offences,Offaly,63
227,2003Q2,Drug offences,Roscommon,28
228,2003Q2,Drug offences,Sligo,30
229,2003Q2,Drug offences,Tipperary,214
230,2003Q2,Drug offences,Waterford,372
231,2003Q2,Drug offences,Westmeath,52
232,2003Q2,Drug offences,Wexford,78
233,2003Q2,Drug offences,Wicklow,142
234,2003Q2,Environmental offences,Carlow,58
235,2003Q2,Environmental offences,Cavan,85
236,2003Q2,Environmental offences,Clare,173
237,2003Q2,Environmental offences,Cork,967
238,2003Q2,Environmental offences,Donegal,305
239,2003Q2,Environmental offences,Dublin,3542
240,2003Q2,Environmental offences,Galway,338
241,2003Q2,Environmental offences,Kerry,123
242,2003Q2,Environmental offences,Kildare,276
243,2003Q2,Environmental offences,Kilkenny,58
244,2003Q2,Environmental offences,Laois,72
245,2003Q2,Environmental offences,Leitrim,155
246,2003Q2,Environmental offences,Limerick,532
247,2003Q2,Environmental offences,Longford,70
248,2003Q2,Environmental offences,Louth,302
249,2003Q2,Environmental offences,Mayo,194
250,2003Q2,Environmental offences,Meath,136
251,2003Q2,Environmental offences,Monaghan,85
252,2003Q2,Environmental offences,Offaly,72
253,2003Q2,Environmental offences,Roscommon,70
254,2003Q2,Environmental offences,Sligo,155
255,2003Q2,Environmental offences,Tipperary,213
256,2003Q2,Environmental offences,Waterford,195
257,2003Q2,Environmental offences,Westmeath,182
258,2003Q2,Environmental offences,Wexford,139
259,2003Q2,Environmental offences,Wicklow,226
260,2003Q2,Miscellaneous offences,Carlow,397
261,2003Q2,Miscellaneous offences,Cavan,367
262,2003Q2,Miscellaneous offences,Clare,414
263,2003Q2,Miscellaneous offences,Cork,3054
264,2003Q2,Miscellaneous offences,Donegal,1056
265,2003Q2,Miscellaneous offences,Dublin,9279
266,2003Q2,Miscellaneous offences,Galway,1087
267,2003Q2,Miscellaneous offences,Kerry,1085
268,2003Q2,Miscellaneous offences,Kildare,1169
269,2003Q2,Miscellaneous offences,Kilkenny,397
270,2003Q2,Miscellaneous offences,Laois,295
271,2003Q2,Miscellaneous offences,Leitrim,152
272,2003Q2,Miscellaneous offences,Limerick,1010
273,2003Q2,Miscellaneous offences,Longford,197
274,2003Q2,Miscellaneous offences,Louth,662
