"STATISTIC Label","Quarter","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2012Q1","Cork City Council","Number","20"
"New Dwelling Completion","2012Q1","Clare County Council","Number","44"
"New Dwelling Completion","2012Q1","Cavan County Council","Number","20"
"New Dwelling Completion","2012Q1","Cork County Council","Number","122"
"New Dwelling Completion","2012Q1","Carlow County Council","Number","17"
"New Dwelling Completion","2012Q1","Dublin City Council","Number","57"
"New Dwelling Completion","2012Q1","Dún Laoghaire Rathdown County Council","Number","13"
"New Dwelling Completion","2012Q1","Donegal County Council","Number","114"
"New Dwelling Completion","2012Q1","Fingal County Council","Number","29"
"New Dwelling Completion","2012Q1","Galway County Council","Number","77"
"New Dwelling Completion","2012Q1","Galway City Council","Number","6"
"New Dwelling Completion","2012Q1","Kildare County Council","Number","51"
"New Dwelling Completion","2012Q1","Kilkenny County Council","Number","26"
"New Dwelling Completion","2012Q1","Kerry County Council","Number","46"
"New Dwelling Completion","2012Q1","Longford County Council","Number","17"
"New Dwelling Completion","2012Q1","Louth County Council","Number","23"
"New Dwelling Completion","2012Q1","Limerick City & County Council","Number","27"
"New Dwelling Completion","2012Q1","Leitrim County Council","Number","15"
"New Dwelling Completion","2012Q1","Laois County Council","Number","24"
"New Dwelling Completion","2012Q1","Meath County Council","Number","41"
"New Dwelling Completion","2012Q1","Monaghan County Council","Number","42"
"New Dwelling Completion","2012Q1","Mayo County Council","Number","41"
"New Dwelling Completion","2012Q1","Offaly County Council","Number","15"
"New Dwelling Completion","2012Q1","Roscommon County Council","Number","19"
"New Dwelling Completion","2012Q1","South Dublin County Council","Number","11"
"New Dwelling Completion","2012Q1","Sligo County Council","Number","62"
"New Dwelling Completion","2012Q1","Tipperary County Council","Number","40"
"New Dwelling Completion","2012Q1","Waterford City & County Council","Number","18"
"New Dwelling Completion","2012Q1","Westmeath County Council","Number","24"
"New Dwelling Completion","2012Q1","Wicklow County Council","Number","23"
"New Dwelling Completion","2012Q1","Wexford County Council","Number","47"
"New Dwelling Completion","2012Q2","Cork City Council","Number","27"
"New Dwelling Completion","2012Q2","Clare County Council","Number","38"
"New Dwelling Completion","2012Q2","Cavan County Council","Number","23"
"New Dwelling Completion","2012Q2","Cork County Council","Number","115"
"New Dwelling Completion","2012Q2","Carlow County Council","Number","10"
"New Dwelling Completion","2012Q2","Dublin City Council","Number","37"
"New Dwelling Completion","2012Q2","Dún Laoghaire Rathdown County Council","Number","11"
"New Dwelling Completion","2012Q2","Donegal County Council","Number","74"
"New Dwelling Completion","2012Q2","Fingal County Council","Number","29"
"New Dwelling Completion","2012Q2","Galway County Council","Number","71"
"New Dwelling Completion","2012Q2","Galway City Council","Number","7"
"New Dwelling Completion","2012Q2","Kildare County Council","Number","44"
"New Dwelling Completion","2012Q2","Kilkenny County Council","Number","18"
"New Dwelling Completion","2012Q2","Kerry County Council","Number","48"
"New Dwelling Completion","2012Q2","Longford County Council","Number","24"
"New Dwelling Completion","2012Q2","Louth County Council","Number","28"
"New Dwelling Completion","2012Q2","Limerick City & County Council","Number","55"
"New Dwelling Completion","2012Q2","Leitrim County Council","Number","7"
"New Dwelling Completion","2012Q2","Laois County Council","Number","43"
"New Dwelling Completion","2012Q2","Meath County Council","Number","47"
"New Dwelling Completion","2012Q2","Monaghan County Council","Number","18"
"New Dwelling Completion","2012Q2","Mayo County Council","Number","56"
"New Dwelling Completion","2012Q2","Offaly County Council","Number","18"
"New Dwelling Completion","2012Q2","Roscommon County Council","Number","25"
"New Dwelling Completion","2012Q2","South Dublin County Council","Number","23"
"New Dwelling Completion","2012Q2","Sligo County Council","Number","67"
"New Dwelling Completion","2012Q2","Tipperary County Council","Number","30"
"New Dwelling Completion","2012Q2","Waterford City & County Council","Number","19"
"New Dwelling Completion","2012Q2","Westmeath County Council","Number","18"
"New Dwelling Completion","2012Q2","Wicklow County Council","Number","38"
"New Dwelling Completion","2012Q2","Wexford County Council","Number","49"
"New Dwelling Completion","2012Q3","Cork City Council","Number","26"
"New Dwelling Completion","2012Q3","Clare County Council","Number","39"
"New Dwelling Completion","2012Q3","Cavan County Council","Number","23"
"New Dwelling Completion","2012Q3","Cork County Council","Number","129"
"New Dwelling Completion","2012Q3","Carlow County Council","Number","11"
"New Dwelling Completion","2012Q3","Dublin City Council","Number","68"
"New Dwelling Completion","2012Q3","Dún Laoghaire Rathdown County Council","Number","33"
"New Dwelling Completion","2012Q3","Donegal County Council","Number","92"
"New Dwelling Completion","2012Q3","Fingal County Council","Number","24"
"New Dwelling Completion","2012Q3","Galway County Council","Number","72"
"New Dwelling Completion","2012Q3","Galway City Council","Number","4"
"New Dwelling Completion","2012Q3","Kildare County Council","Number","42"
"New Dwelling Completion","2012Q3","Kilkenny County Council","Number","21"
"New Dwelling Completion","2012Q3","Kerry County Council","Number","40"
"New Dwelling Completion","2012Q3","Longford County Council","Number","29"
"New Dwelling Completion","2012Q3","Louth County Council","Number","59"
"New Dwelling Completion","2012Q3","Limerick City & County Council","Number","47"
"New Dwelling Completion","2012Q3","Leitrim County Council","Number","13"
"New Dwelling Completion","2012Q3","Laois County Council","Number","31"
"New Dwelling Completion","2012Q3","Meath County Council","Number","42"
"New Dwelling Completion","2012Q3","Monaghan County Council","Number","27"
"New Dwelling Completion","2012Q3","Mayo County Council","Number","54"
"New Dwelling Completion","2012Q3","Offaly County Council","Number","23"
"New Dwelling Completion","2012Q3","Roscommon County Council","Number","16"
"New Dwelling Completion","2012Q3","South Dublin County Council","Number","20"
"New Dwelling Completion","2012Q3","Sligo County Council","Number","22"
"New Dwelling Completion","2012Q3","Tipperary County Council","Number","57"
"New Dwelling Completion","2012Q3","Waterford City & County Council","Number","23"
"New Dwelling Completion","2012Q3","Westmeath County Council","Number","21"
"New Dwelling Completion","2012Q3","Wicklow County Council","Number","58"
"New Dwelling Completion","2012Q3","Wexford County Council","Number","39"
"New Dwelling Completion","2012Q4","Cork City Council","Number","22"
"New Dwelling Completion","2012Q4","Clare County Council","Number","39"
"New Dwelling Completion","2012Q4","Cavan County Council","Number","33"
"New Dwelling Completion","2012Q4","Cork County Council","Number","148"
"New Dwelling Completion","2012Q4","Carlow County Council","Number","17"
"New Dwelling Completion","2012Q4","Dublin City Council","Number","71"
"New Dwelling Completion","2012Q4","Dún Laoghaire Rathdown County Council","Number","34"
"New Dwelling Completion","2012Q4","Donegal County Council","Number","78"
"New Dwelling Completion","2012Q4","Fingal County Council","Number","49"
"New Dwelling Completion","2012Q4","Galway County Council","Number","91"
"New Dwelling Completion","2012Q4","Galway City Council","Number","5"
"New Dwelling Completion","2012Q4","Kildare County Council","Number","70"
"New Dwelling Completion","2012Q4","Kilkenny County Council","Number","44"
"New Dwelling Completion","2012Q4","Kerry County Council","Number","84"
"New Dwelling Completion","2012Q4","Longford County Council","Number","7"
"New Dwelling Completion","2012Q4","Louth County Council","Number","81"
"New Dwelling Completion","2012Q4","Limerick City & County Council","Number","108"
"New Dwelling Completion","2012Q4","Leitrim County Council","Number","9"
"New Dwelling Completion","2012Q4","Laois County Council","Number","26"
"New Dwelling Completion","2012Q4","Meath County Council","Number","63"
"New Dwelling Completion","2012Q4","Monaghan County Council","Number","15"
"New Dwelling Completion","2012Q4","Mayo County Council","Number","45"
"New Dwelling Completion","2012Q4","Offaly County Council","Number","26"
"New Dwelling Completion","2012Q4","Roscommon County Council","Number","16"
"New Dwelling Completion","2012Q4","South Dublin County Council","Number","75"
"New Dwelling Completion","2012Q4","Sligo County Council","Number","18"
"New Dwelling Completion","2012Q4","Tipperary County Council","Number","41"
"New Dwelling Completion","2012Q4","Waterford City & County Council","Number","38"
"New Dwelling Completion","2012Q4","Westmeath County Council","Number","20"
"New Dwelling Completion","2012Q4","Wicklow County Council","Number","30"
"New Dwelling Completion","2012Q4","Wexford County Council","Number","55"
"New Dwelling Completion","2013Q1","Cork City Council","Number","16"
"New Dwelling Completion","2013Q1","Clare County Council","Number","27"
"New Dwelling Completion","2013Q1","Cavan County Council","Number","15"
"New Dwelling Completion","2013Q1","Cork County Council","Number","88"
"New Dwelling Completion","2013Q1","Carlow County Council","Number","7"
"New Dwelling Completion","2013Q1","Dublin City Council","Number","36"
"New Dwelling Completion","2013Q1","Dún Laoghaire Rathdown County Council","Number","22"
"New Dwelling Completion","2013Q1","Donegal County Council","Number","54"
"New Dwelling Completion","2013Q1","Fingal County Council","Number","27"
"New Dwelling Completion","2013Q1","Galway County Council","Number","75"
"New Dwelling Completion","2013Q1","Galway City Council","Number","3"
"New Dwelling Completion","2013Q1","Kildare County Council","Number","34"
"New Dwelling Completion","2013Q1","Kilkenny County Council","Number","19"
"New Dwelling Completion","2013Q1","Kerry County Council","Number","39"
"New Dwelling Completion","2013Q1","Longford County Council","Number","8"
"New Dwelling Completion","2013Q1","Louth County Council","Number","48"
"New Dwelling Completion","2013Q1","Limerick City & County Council","Number","46"
"New Dwelling Completion","2013Q1","Leitrim County Council","Number","10"
"New Dwelling Completion","2013Q1","Laois County Council","Number","13"
"New Dwelling Completion","2013Q1","Meath County Council","Number","36"
"New Dwelling Completion","2013Q1","Monaghan County Council","Number","16"
"New Dwelling Completion","2013Q1","Mayo County Council","Number","38"
"New Dwelling Completion","2013Q1","Offaly County Council","Number","12"
"New Dwelling Completion","2013Q1","Roscommon County Council","Number","22"
"New Dwelling Completion","2013Q1","South Dublin County Council","Number","28"
"New Dwelling Completion","2013Q1","Sligo County Council","Number","30"
"New Dwelling Completion","2013Q1","Tipperary County Council","Number","25"
"New Dwelling Completion","2013Q1","Waterford City & County Council","Number","23"
"New Dwelling Completion","2013Q1","Westmeath County Council","Number","13"
"New Dwelling Completion","2013Q1","Wicklow County Council","Number","30"
"New Dwelling Completion","2013Q1","Wexford County Council","Number","29"
"New Dwelling Completion","2013Q2","Cork City Council","Number","69"
"New Dwelling Completion","2013Q2","Clare County Council","Number","31"
"New Dwelling Completion","2013Q2","Cavan County Council","Number","17"
"New Dwelling Completion","2013Q2","Cork County Council","Number","101"
"New Dwelling Completion","2013Q2","Carlow County Council","Number","10"
"New Dwelling Completion","2013Q2","Dublin City Council","Number","111"
"New Dwelling Completion","2013Q2","Dún Laoghaire Rathdown County Council","Number","24"
"New Dwelling Completion","2013Q2","Donegal County Council","Number","60"
"New Dwelling Completion","2013Q2","Fingal County Council","Number","25"
"New Dwelling Completion","2013Q2","Galway County Council","Number","57"
"New Dwelling Completion","2013Q2","Galway City Council","Number","31"
"New Dwelling Completion","2013Q2","Kildare County Council","Number","52"
"New Dwelling Completion","2013Q2","Kilkenny County Council","Number","34"
"New Dwelling Completion","2013Q2","Kerry County Council","Number","42"
"New Dwelling Completion","2013Q2","Longford County Council","Number","7"
"New Dwelling Completion","2013Q2","Louth County Council","Number","79"
"New Dwelling Completion","2013Q2","Limerick City & County Council","Number","36"
"New Dwelling Completion","2013Q2","Leitrim County Council","Number","12"
"New Dwelling Completion","2013Q2","Laois County Council","Number","24"
"New Dwelling Completion","2013Q2","Meath County Council","Number","37"
"New Dwelling Completion","2013Q2","Monaghan County Council","Number","15"
"New Dwelling Completion","2013Q2","Mayo County Council","Number","45"
"New Dwelling Completion","2013Q2","Offaly County Council","Number","14"
"New Dwelling Completion","2013Q2","Roscommon County Council","Number","16"
"New Dwelling Completion","2013Q2","South Dublin County Council","Number","25"
"New Dwelling Completion","2013Q2","Sligo County Council","Number","15"
"New Dwelling Completion","2013Q2","Tipperary County Council","Number","38"
"New Dwelling Completion","2013Q2","Waterford City & County Council","Number","21"
"New Dwelling Completion","2013Q2","Westmeath County Council","Number","18"
"New Dwelling Completion","2013Q2","Wicklow County Council","Number","41"
"New Dwelling Completion","2013Q2","Wexford County Council","Number","39"
"New Dwelling Completion","2013Q3","Cork City Council","Number","14"
"New Dwelling Completion","2013Q3","Clare County Council","Number","26"
"New Dwelling Completion","2013Q3","Cavan County Council","Number","16"
"New Dwelling Completion","2013Q3","Cork County Council","Number","103"
"New Dwelling Completion","2013Q3","Carlow County Council","Number","16"
"New Dwelling Completion","2013Q3","Dublin City Council","Number","57"
"New Dwelling Completion","2013Q3","Dún Laoghaire Rathdown County Council","Number","30"
"New Dwelling Completion","2013Q3","Donegal County Council","Number","62"
"New Dwelling Completion","2013Q3","Fingal County Council","Number","61"
"New Dwelling Completion","2013Q3","Galway County Council","Number","62"
"New Dwelling Completion","2013Q3","Galway City Council","Number","9"
"New Dwelling Completion","2013Q3","Kildare County Council","Number","51"
"New Dwelling Completion","2013Q3","Kilkenny County Council","Number","31"
"New Dwelling Completion","2013Q3","Kerry County Council","Number","54"
"New Dwelling Completion","2013Q3","Longford County Council","Number","9"
"New Dwelling Completion","2013Q3","Louth County Council","Number","37"
"New Dwelling Completion","2013Q3","Limerick City & County Council","Number","24"
"New Dwelling Completion","2013Q3","Leitrim County Council","Number","10"
"New Dwelling Completion","2013Q3","Laois County Council","Number","18"
"New Dwelling Completion","2013Q3","Meath County Council","Number","33"
"New Dwelling Completion","2013Q3","Monaghan County Council","Number","18"
"New Dwelling Completion","2013Q3","Mayo County Council","Number","41"
"New Dwelling Completion","2013Q3","Offaly County Council","Number","10"
"New Dwelling Completion","2013Q3","Roscommon County Council","Number","20"
"New Dwelling Completion","2013Q3","South Dublin County Council","Number","33"
"New Dwelling Completion","2013Q3","Sligo County Council","Number","23"
"New Dwelling Completion","2013Q3","Tipperary County Council","Number","23"
"New Dwelling Completion","2013Q3","Waterford City & County Council","Number","24"
"New Dwelling Completion","2013Q3","Westmeath County Council","Number","17"
"New Dwelling Completion","2013Q3","Wicklow County Council","Number","41"
"New Dwelling Completion","2013Q3","Wexford County Council","Number","60"
"New Dwelling Completion","2013Q4","Cork City Council","Number","59"
"New Dwelling Completion","2013Q4","Clare County Council","Number","39"
"New Dwelling Completion","2013Q4","Cavan County Council","Number","21"
"New Dwelling Completion","2013Q4","Cork County Council","Number","119"
"New Dwelling Completion","2013Q4","Carlow County Council","Number","9"
"New Dwelling Completion","2013Q4","Dublin City Council","Number","90"
"New Dwelling Completion","2013Q4","Dún Laoghaire Rathdown County Council","Number","132"
"New Dwelling Completion","2013Q4","Donegal County Council","Number","74"
"New Dwelling Completion","2013Q4","Fingal County Council","Number","72"
"New Dwelling Completion","2013Q4","Galway County Council","Number","67"
"New Dwelling Completion","2013Q4","Galway City Council","Number","7"
"New Dwelling Completion","2013Q4","Kildare County Council","Number","57"
"New Dwelling Completion","2013Q4","Kilkenny County Council","Number","28"
"New Dwelling Completion","2013Q4","Kerry County Council","Number","59"
"New Dwelling Completion","2013Q4","Longford County Council","Number","11"
"New Dwelling Completion","2013Q4","Louth County Council","Number","41"
"New Dwelling Completion","2013Q4","Limerick City & County Council","Number","108"
"New Dwelling Completion","2013Q4","Leitrim County Council","Number","9"
"New Dwelling Completion","2013Q4","Laois County Council","Number","30"
"New Dwelling Completion","2013Q4","Meath County Council","Number","54"
"New Dwelling Completion","2013Q4","Monaghan County Council","Number","36"
"New Dwelling Completion","2013Q4","Mayo County Council","Number","90"
"New Dwelling Completion","2013Q4","Offaly County Council","Number","19"
"New Dwelling Completion","2013Q4","Roscommon County Council","Number","22"
"New Dwelling Completion","2013Q4","South Dublin County Council","Number","56"
"New Dwelling Completion","2013Q4","Sligo County Council","Number","22"
"New Dwelling Completion","2013Q4","Tipperary County Council","Number","48"
"New Dwelling Completion","2013Q4","Waterford City & County Council","Number","23"
"New Dwelling Completion","2013Q4","Westmeath County Council","Number","18"
"New Dwelling Completion","2013Q4","Wicklow County Council","Number","26"
"New Dwelling Completion","2013Q4","Wexford County Council","Number","61"
"New Dwelling Completion","2014Q1","Cork City Council","Number","9"
"New Dwelling Completion","2014Q1","Clare County Council","Number","38"
"New Dwelling Completion","2014Q1","Cavan County Council","Number","25"
"New Dwelling Completion","2014Q1","Cork County Council","Number","91"
"New Dwelling Completion","2014Q1","Carlow County Council","Number","22"
"New Dwelling Completion","2014Q1","Dublin City Council","Number","56"
"New Dwelling Completion","2014Q1","Dún Laoghaire Rathdown County Council","Number","143"
"New Dwelling Completion","2014Q1","Donegal County Council","Number","55"
"New Dwelling Completion","2014Q1","Fingal County Council","Number","53"
"New Dwelling Completion","2014Q1","Galway County Council","Number","65"
"New Dwelling Completion","2014Q1","Galway City Council","Number","6"
"New Dwelling Completion","2014Q1","Kildare County Council","Number","58"
"New Dwelling Completion","2014Q1","Kilkenny County Council","Number","20"
"New Dwelling Completion","2014Q1","Kerry County Council","Number","40"
"New Dwelling Completion","2014Q1","Longford County Council","Number","17"
"New Dwelling Completion","2014Q1","Louth County Council","Number","27"
"New Dwelling Completion","2014Q1","Limerick City & County Council","Number","27"
"New Dwelling Completion","2014Q1","Leitrim County Council","Number","7"
"New Dwelling Completion","2014Q1","Laois County Council","Number","24"
"New Dwelling Completion","2014Q1","Meath County Council","Number","39"
"New Dwelling Completion","2014Q1","Monaghan County Council","Number","11"
"New Dwelling Completion","2014Q1","Mayo County Council","Number","35"
"New Dwelling Completion","2014Q1","Offaly County Council","Number","14"
"New Dwelling Completion","2014Q1","Roscommon County Council","Number","17"
"New Dwelling Completion","2014Q1","South Dublin County Council","Number","49"
"New Dwelling Completion","2014Q1","Sligo County Council","Number","9"
"New Dwelling Completion","2014Q1","Tipperary County Council","Number","28"
"New Dwelling Completion","2014Q1","Waterford City & County Council","Number","20"
"New Dwelling Completion","2014Q1","Westmeath County Council","Number","23"
"New Dwelling Completion","2014Q1","Wicklow County Council","Number","29"
"New Dwelling Completion","2014Q1","Wexford County Council","Number","37"
"New Dwelling Completion","2014Q2","Cork City Council","Number","27"
"New Dwelling Completion","2014Q2","Clare County Council","Number","34"
"New Dwelling Completion","2014Q2","Cavan County Council","Number","22"
"New Dwelling Completion","2014Q2","Cork County Council","Number","113"
"New Dwelling Completion","2014Q2","Carlow County Council","Number","18"
"New Dwelling Completion","2014Q2","Dublin City Council","Number","243"
"New Dwelling Completion","2014Q2","Dún Laoghaire Rathdown County Council","Number","64"
"New Dwelling Completion","2014Q2","Donegal County Council","Number","62"
"New Dwelling Completion","2014Q2","Fingal County Council","Number","74"
"New Dwelling Completion","2014Q2","Galway County Council","Number","59"
"New Dwelling Completion","2014Q2","Galway City Council","Number","18"
"New Dwelling Completion","2014Q2","Kildare County Council","Number","65"
"New Dwelling Completion","2014Q2","Kilkenny County Council","Number","22"
"New Dwelling Completion","2014Q2","Kerry County Council","Number","42"
"New Dwelling Completion","2014Q2","Longford County Council","Number","8"
"New Dwelling Completion","2014Q2","Louth County Council","Number","29"
"New Dwelling Completion","2014Q2","Limerick City & County Council","Number","39"
"New Dwelling Completion","2014Q2","Leitrim County Council","Number","7"
"New Dwelling Completion","2014Q2","Laois County Council","Number","15"
"New Dwelling Completion","2014Q2","Meath County Council","Number","53"
"New Dwelling Completion","2014Q2","Monaghan County Council","Number","17"
"New Dwelling Completion","2014Q2","Mayo County Council","Number","50"
"New Dwelling Completion","2014Q2","Offaly County Council","Number","11"
"New Dwelling Completion","2014Q2","Roscommon County Council","Number","10"
"New Dwelling Completion","2014Q2","South Dublin County Council","Number","60"
"New Dwelling Completion","2014Q2","Sligo County Council","Number","21"
"New Dwelling Completion","2014Q2","Tipperary County Council","Number","33"
"New Dwelling Completion","2014Q2","Waterford City & County Council","Number","15"
"New Dwelling Completion","2014Q2","Westmeath County Council","Number","12"
"New Dwelling Completion","2014Q2","Wicklow County Council","Number","36"
"New Dwelling Completion","2014Q2","Wexford County Council","Number","39"
"New Dwelling Completion","2014Q3","Cork City Council","Number","33"
"New Dwelling Completion","2014Q3","Clare County Council","Number","45"
"New Dwelling Completion","2014Q3","Cavan County Council","Number","23"
"New Dwelling Completion","2014Q3","Cork County Council","Number","111"
"New Dwelling Completion","2014Q3","Carlow County Council","Number","21"
"New Dwelling Completion","2014Q3","Dublin City Council","Number","145"
"New Dwelling Completion","2014Q3","Dún Laoghaire Rathdown County Council","Number","75"
