"STATISTIC Label","Quarter","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2018Q1","Leitrim County Council","Number","14"
"New Dwelling Completion","2018Q1","Laois County Council","Number","39"
"New Dwelling Completion","2018Q1","Meath County Council","Number","292"
"New Dwelling Completion","2018Q1","Monaghan County Council","Number","25"
"New Dwelling Completion","2018Q1","Mayo County Council","Number","70"
"New Dwelling Completion","2018Q1","Offaly County Council","Number","26"
"New Dwelling Completion","2018Q1","Roscommon County Council","Number","31"
"New Dwelling Completion","2018Q1","South Dublin County Council","Number","242"
"New Dwelling Completion","2018Q1","Sligo County Council","Number","32"
"New Dwelling Completion","2018Q1","Tipperary County Council","Number","38"
"New Dwelling Completion","2018Q1","Waterford City & County Council","Number","67"
"New Dwelling Completion","2018Q1","Westmeath County Council","Number","35"
"New Dwelling Completion","2018Q1","Wicklow County Council","Number","140"
"New Dwelling Completion","2018Q1","Wexford County Council","Number","103"
"New Dwelling Completion","2018Q2","Cork City Council","Number","116"
"New Dwelling Completion","2018Q2","Clare County Council","Number","54"
"New Dwelling Completion","2018Q2","Cavan County Council","Number","39"
"New Dwelling Completion","2018Q2","Cork County Council","Number","325"
"New Dwelling Completion","2018Q2","Carlow County Council","Number","44"
"New Dwelling Completion","2018Q2","Dublin City Council","Number","311"
"New Dwelling Completion","2018Q2","Dún Laoghaire Rathdown County Council","Number","349"
"New Dwelling Completion","2018Q2","Donegal County Council","Number","90"
"New Dwelling Completion","2018Q2","Fingal County Council","Number","666"
"New Dwelling Completion","2018Q2","Galway County Council","Number","132"
"New Dwelling Completion","2018Q2","Galway City Council","Number","41"
"New Dwelling Completion","2018Q2","Kildare County Council","Number","271"
"New Dwelling Completion","2018Q2","Kilkenny County Council","Number","51"
"New Dwelling Completion","2018Q2","Kerry County Council","Number","81"
"New Dwelling Completion","2018Q2","Longford County Council","Number","15"
"New Dwelling Completion","2018Q2","Louth County Council","Number","150"
"New Dwelling Completion","2018Q2","Limerick City & County Council","Number","140"
"New Dwelling Completion","2018Q2","Leitrim County Council","Number","13"
"New Dwelling Completion","2018Q2","Laois County Council","Number","91"
"New Dwelling Completion","2018Q2","Meath County Council","Number","339"
"New Dwelling Completion","2018Q2","Monaghan County Council","Number","41"
"New Dwelling Completion","2018Q2","Mayo County Council","Number","70"
"New Dwelling Completion","2018Q2","Offaly County Council","Number","20"
"New Dwelling Completion","2018Q2","Roscommon County Council","Number","31"
"New Dwelling Completion","2018Q2","South Dublin County Council","Number","466"
"New Dwelling Completion","2018Q2","Sligo County Council","Number","36"
"New Dwelling Completion","2018Q2","Tipperary County Council","Number","44"
"New Dwelling Completion","2018Q2","Waterford City & County Council","Number","81"
"New Dwelling Completion","2018Q2","Westmeath County Council","Number","27"
"New Dwelling Completion","2018Q2","Wicklow County Council","Number","121"
"New Dwelling Completion","2018Q2","Wexford County Council","Number","116"
"New Dwelling Completion","2018Q3","Cork City Council","Number","156"
"New Dwelling Completion","2018Q3","Clare County Council","Number","75"
"New Dwelling Completion","2018Q3","Cavan County Council","Number","37"
"New Dwelling Completion","2018Q3","Cork County Council","Number","291"
"New Dwelling Completion","2018Q3","Carlow County Council","Number","40"
"New Dwelling Completion","2018Q3","Dublin City Council","Number","537"
"New Dwelling Completion","2018Q3","Dún Laoghaire Rathdown County Council","Number","367"
"New Dwelling Completion","2018Q3","Donegal County Council","Number","125"
"New Dwelling Completion","2018Q3","Fingal County Council","Number","515"
"New Dwelling Completion","2018Q3","Galway County Council","Number","122"
"New Dwelling Completion","2018Q3","Galway City Council","Number","26"
"New Dwelling Completion","2018Q3","Kildare County Council","Number","326"
"New Dwelling Completion","2018Q3","Kilkenny County Council","Number","53"
"New Dwelling Completion","2018Q3","Kerry County Council","Number","118"
"New Dwelling Completion","2018Q3","Longford County Council","Number","11"
"New Dwelling Completion","2018Q3","Louth County Council","Number","135"
"New Dwelling Completion","2018Q3","Limerick City & County Council","Number","109"
"New Dwelling Completion","2018Q3","Leitrim County Council","Number","18"
"New Dwelling Completion","2018Q3","Laois County Council","Number","53"
"New Dwelling Completion","2018Q3","Meath County Council","Number","394"
"New Dwelling Completion","2018Q3","Monaghan County Council","Number","33"
"New Dwelling Completion","2018Q3","Mayo County Council","Number","81"
"New Dwelling Completion","2018Q3","Offaly County Council","Number","23"
"New Dwelling Completion","2018Q3","Roscommon County Council","Number","37"
"New Dwelling Completion","2018Q3","South Dublin County Council","Number","429"
"New Dwelling Completion","2018Q3","Sligo County Council","Number","44"
"New Dwelling Completion","2018Q3","Tipperary County Council","Number","42"
"New Dwelling Completion","2018Q3","Waterford City & County Council","Number","107"
"New Dwelling Completion","2018Q3","Westmeath County Council","Number","32"
"New Dwelling Completion","2018Q3","Wicklow County Council","Number","125"
"New Dwelling Completion","2018Q3","Wexford County Council","Number","147"
"New Dwelling Completion","2018Q4","Cork City Council","Number","197"
"New Dwelling Completion","2018Q4","Clare County Council","Number","56"
"New Dwelling Completion","2018Q4","Cavan County Council","Number","47"
"New Dwelling Completion","2018Q4","Cork County Council","Number","307"
"New Dwelling Completion","2018Q4","Carlow County Council","Number","97"
"New Dwelling Completion","2018Q4","Dublin City Council","Number","635"
"New Dwelling Completion","2018Q4","Dún Laoghaire Rathdown County Council","Number","356"
"New Dwelling Completion","2018Q4","Donegal County Council","Number","131"
"New Dwelling Completion","2018Q4","Fingal County Council","Number","510"
"New Dwelling Completion","2018Q4","Galway County Council","Number","166"
"New Dwelling Completion","2018Q4","Galway City Council","Number","40"
"New Dwelling Completion","2018Q4","Kildare County Council","Number","381"
"New Dwelling Completion","2018Q4","Kilkenny County Council","Number","87"
"New Dwelling Completion","2018Q4","Kerry County Council","Number","100"
"New Dwelling Completion","2018Q4","Longford County Council","Number","25"
"New Dwelling Completion","2018Q4","Louth County Council","Number","184"
"New Dwelling Completion","2018Q4","Limerick City & County Council","Number","133"
"New Dwelling Completion","2018Q4","Leitrim County Council","Number","15"
"New Dwelling Completion","2018Q4","Laois County Council","Number","52"
"New Dwelling Completion","2018Q4","Meath County Council","Number","481"
"New Dwelling Completion","2018Q4","Monaghan County Council","Number","32"
"New Dwelling Completion","2018Q4","Mayo County Council","Number","95"
"New Dwelling Completion","2018Q4","Offaly County Council","Number","36"
"New Dwelling Completion","2018Q4","Roscommon County Council","Number","47"
"New Dwelling Completion","2018Q4","South Dublin County Council","Number","513"
"New Dwelling Completion","2018Q4","Sligo County Council","Number","55"
"New Dwelling Completion","2018Q4","Tipperary County Council","Number","73"
"New Dwelling Completion","2018Q4","Waterford City & County Council","Number","162"
"New Dwelling Completion","2018Q4","Westmeath County Council","Number","77"
"New Dwelling Completion","2018Q4","Wicklow County Council","Number","203"
"New Dwelling Completion","2018Q4","Wexford County Council","Number","123"
"New Dwelling Completion","2019Q1","Cork City Council","Number","150"
"New Dwelling Completion","2019Q1","Clare County Council","Number","55"
"New Dwelling Completion","2019Q1","Cavan County Council","Number","31"
"New Dwelling Completion","2019Q1","Cork County Council","Number","275"
"New Dwelling Completion","2019Q1","Carlow County Council","Number","41"
"New Dwelling Completion","2019Q1","Dublin City Council","Number","521"
"New Dwelling Completion","2019Q1","Dún Laoghaire Rathdown County Council","Number","203"
"New Dwelling Completion","2019Q1","Donegal County Council","Number","85"
"New Dwelling Completion","2019Q1","Fingal County Council","Number","353"
"New Dwelling Completion","2019Q1","Galway County Council","Number","144"
"New Dwelling Completion","2019Q1","Galway City Council","Number","30"
"New Dwelling Completion","2019Q1","Kildare County Council","Number","396"
"New Dwelling Completion","2019Q1","Kilkenny County Council","Number","54"
"New Dwelling Completion","2019Q1","Kerry County Council","Number","80"
"New Dwelling Completion","2019Q1","Longford County Council","Number","39"
"New Dwelling Completion","2019Q1","Louth County Council","Number","171"
"New Dwelling Completion","2019Q1","Limerick City & County Council","Number","87"
"New Dwelling Completion","2019Q1","Leitrim County Council","Number","11"
"New Dwelling Completion","2019Q1","Laois County Council","Number","33"
"New Dwelling Completion","2019Q1","Meath County Council","Number","294"
"New Dwelling Completion","2019Q1","Monaghan County Council","Number","62"
"New Dwelling Completion","2019Q1","Mayo County Council","Number","96"
"New Dwelling Completion","2019Q1","Offaly County Council","Number","40"
"New Dwelling Completion","2019Q1","Roscommon County Council","Number","39"
"New Dwelling Completion","2019Q1","South Dublin County Council","Number","383"
"New Dwelling Completion","2019Q1","Sligo County Council","Number","11"
"New Dwelling Completion","2019Q1","Tipperary County Council","Number","72"
"New Dwelling Completion","2019Q1","Waterford City & County Council","Number","76"
"New Dwelling Completion","2019Q1","Westmeath County Council","Number","52"
"New Dwelling Completion","2019Q1","Wicklow County Council","Number","208"
"New Dwelling Completion","2019Q1","Wexford County Council","Number","135"
"New Dwelling Completion","2019Q2","Cork City Council","Number","155"
"New Dwelling Completion","2019Q2","Clare County Council","Number","120"
"New Dwelling Completion","2019Q2","Cavan County Council","Number","32"
"New Dwelling Completion","2019Q2","Cork County Council","Number","379"
"New Dwelling Completion","2019Q2","Carlow County Council","Number","41"
"New Dwelling Completion","2019Q2","Dublin City Council","Number","411"
"New Dwelling Completion","2019Q2","Dún Laoghaire Rathdown County Council","Number","197"
"New Dwelling Completion","2019Q2","Donegal County Council","Number","110"
"New Dwelling Completion","2019Q2","Fingal County Council","Number","497"
"New Dwelling Completion","2019Q2","Galway County Council","Number","198"
"New Dwelling Completion","2019Q2","Galway City Council","Number","41"
"New Dwelling Completion","2019Q2","Kildare County Council","Number","394"
"New Dwelling Completion","2019Q2","Kilkenny County Council","Number","49"
"New Dwelling Completion","2019Q2","Kerry County Council","Number","102"
"New Dwelling Completion","2019Q2","Longford County Council","Number","15"
"New Dwelling Completion","2019Q2","Louth County Council","Number","135"
"New Dwelling Completion","2019Q2","Limerick City & County Council","Number","163"
"New Dwelling Completion","2019Q2","Leitrim County Council","Number","11"
"New Dwelling Completion","2019Q2","Laois County Council","Number","48"
"New Dwelling Completion","2019Q2","Meath County Council","Number","469"
"New Dwelling Completion","2019Q2","Monaghan County Council","Number","57"
"New Dwelling Completion","2019Q2","Mayo County Council","Number","81"
"New Dwelling Completion","2019Q2","Offaly County Council","Number","37"
"New Dwelling Completion","2019Q2","Roscommon County Council","Number","34"
"New Dwelling Completion","2019Q2","South Dublin County Council","Number","360"
"New Dwelling Completion","2019Q2","Sligo County Council","Number","41"
"New Dwelling Completion","2019Q2","Tipperary County Council","Number","81"
"New Dwelling Completion","2019Q2","Waterford City & County Council","Number","85"
"New Dwelling Completion","2019Q2","Westmeath County Council","Number","59"
"New Dwelling Completion","2019Q2","Wicklow County Council","Number","235"
"New Dwelling Completion","2019Q2","Wexford County Council","Number","175"
"New Dwelling Completion","2019Q3","Cork City Council","Number","144"
"New Dwelling Completion","2019Q3","Clare County Council","Number","102"
"New Dwelling Completion","2019Q3","Cavan County Council","Number","38"
"New Dwelling Completion","2019Q3","Cork County Council","Number","285"
"New Dwelling Completion","2019Q3","Carlow County Council","Number","39"
"New Dwelling Completion","2019Q3","Dublin City Council","Number","374"
"New Dwelling Completion","2019Q3","Dún Laoghaire Rathdown County Council","Number","489"
"New Dwelling Completion","2019Q3","Donegal County Council","Number","133"
"New Dwelling Completion","2019Q3","Fingal County Council","Number","685"
"New Dwelling Completion","2019Q3","Galway County Council","Number","201"
"New Dwelling Completion","2019Q3","Galway City Council","Number","93"
"New Dwelling Completion","2019Q3","Kildare County Council","Number","485"
"New Dwelling Completion","2019Q3","Kilkenny County Council","Number","93"
"New Dwelling Completion","2019Q3","Kerry County Council","Number","116"
"New Dwelling Completion","2019Q3","Longford County Council","Number","28"
"New Dwelling Completion","2019Q3","Louth County Council","Number","157"
"New Dwelling Completion","2019Q3","Limerick City & County Council","Number","126"
"New Dwelling Completion","2019Q3","Leitrim County Council","Number","11"
"New Dwelling Completion","2019Q3","Laois County Council","Number","82"
"New Dwelling Completion","2019Q3","Meath County Council","Number","471"
"New Dwelling Completion","2019Q3","Monaghan County Council","Number","98"
"New Dwelling Completion","2019Q3","Mayo County Council","Number","94"
"New Dwelling Completion","2019Q3","Offaly County Council","Number","51"
"New Dwelling Completion","2019Q3","Roscommon County Council","Number","33"
"New Dwelling Completion","2019Q3","South Dublin County Council","Number","393"
"New Dwelling Completion","2019Q3","Sligo County Council","Number","36"
"New Dwelling Completion","2019Q3","Tipperary County Council","Number","85"
"New Dwelling Completion","2019Q3","Waterford City & County Council","Number","143"
"New Dwelling Completion","2019Q3","Westmeath County Council","Number","62"
"New Dwelling Completion","2019Q3","Wicklow County Council","Number","353"
"New Dwelling Completion","2019Q3","Wexford County Council","Number","124"
"New Dwelling Completion","2019Q4","Cork City Council","Number","278"
"New Dwelling Completion","2019Q4","Clare County Council","Number","107"
"New Dwelling Completion","2019Q4","Cavan County Council","Number","36"
"New Dwelling Completion","2019Q4","Cork County Council","Number","473"
"New Dwelling Completion","2019Q4","Carlow County Council","Number","73"
"New Dwelling Completion","2019Q4","Dublin City Council","Number","489"
"New Dwelling Completion","2019Q4","Dún Laoghaire Rathdown County Council","Number","254"
"New Dwelling Completion","2019Q4","Donegal County Council","Number","101"
"New Dwelling Completion","2019Q4","Fingal County Council","Number","783"
"New Dwelling Completion","2019Q4","Galway County Council","Number","249"
"New Dwelling Completion","2019Q4","Galway City Council","Number","93"
"New Dwelling Completion","2019Q4","Kildare County Council","Number","624"
"New Dwelling Completion","2019Q4","Kilkenny County Council","Number","94"
"New Dwelling Completion","2019Q4","Kerry County Council","Number","147"
"New Dwelling Completion","2019Q4","Longford County Council","Number","50"
"New Dwelling Completion","2019Q4","Louth County Council","Number","204"
"New Dwelling Completion","2019Q4","Limerick City & County Council","Number","177"
"New Dwelling Completion","2019Q4","Leitrim County Council","Number","7"
"New Dwelling Completion","2019Q4","Laois County Council","Number","76"
"New Dwelling Completion","2019Q4","Meath County Council","Number","404"
"New Dwelling Completion","2019Q4","Monaghan County Council","Number","64"
"New Dwelling Completion","2019Q4","Mayo County Council","Number","168"
"New Dwelling Completion","2019Q4","Offaly County Council","Number","99"
"New Dwelling Completion","2019Q4","Roscommon County Council","Number","48"
"New Dwelling Completion","2019Q4","South Dublin County Council","Number","523"
"New Dwelling Completion","2019Q4","Sligo County Council","Number","27"
"New Dwelling Completion","2019Q4","Tipperary County Council","Number","76"
"New Dwelling Completion","2019Q4","Waterford City & County Council","Number","140"
"New Dwelling Completion","2019Q4","Westmeath County Council","Number","72"
"New Dwelling Completion","2019Q4","Wicklow County Council","Number","323"
"New Dwelling Completion","2019Q4","Wexford County Council","Number","153"
"New Dwelling Completion","2020Q1","Cork City Council","Number","245"
"New Dwelling Completion","2020Q1","Clare County Council","Number","76"
"New Dwelling Completion","2020Q1","Cavan County Council","Number","37"
"New Dwelling Completion","2020Q1","Cork County Council","Number","352"
"New Dwelling Completion","2020Q1","Carlow County Council","Number","25"
"New Dwelling Completion","2020Q1","Dublin City Council","Number","656"
"New Dwelling Completion","2020Q1","Dún Laoghaire Rathdown County Council","Number","249"
"New Dwelling Completion","2020Q1","Donegal County Council","Number","120"
"New Dwelling Completion","2020Q1","Fingal County Council","Number","412"
"New Dwelling Completion","2020Q1","Galway County Council","Number","192"
"New Dwelling Completion","2020Q1","Galway City Council","Number","57"
"New Dwelling Completion","2020Q1","Kildare County Council","Number","328"
"New Dwelling Completion","2020Q1","Kilkenny County Council","Number","112"
"New Dwelling Completion","2020Q1","Kerry County Council","Number","84"
"New Dwelling Completion","2020Q1","Longford County Council","Number","19"
"New Dwelling Completion","2020Q1","Louth County Council","Number","115"
"New Dwelling Completion","2020Q1","Limerick City & County Council","Number","127"
"New Dwelling Completion","2020Q1","Leitrim County Council","Number","5"
"New Dwelling Completion","2020Q1","Laois County Council","Number","65"
"New Dwelling Completion","2020Q1","Meath County Council","Number","381"
"New Dwelling Completion","2020Q1","Monaghan County Council","Number","44"
"New Dwelling Completion","2020Q1","Mayo County Council","Number","121"
"New Dwelling Completion","2020Q1","Offaly County Council","Number","45"
"New Dwelling Completion","2020Q1","Roscommon County Council","Number","28"
"New Dwelling Completion","2020Q1","South Dublin County Council","Number","315"
"New Dwelling Completion","2020Q1","Sligo County Council","Number","74"
"New Dwelling Completion","2020Q1","Tipperary County Council","Number","71"
"New Dwelling Completion","2020Q1","Waterford City & County Council","Number","130"
"New Dwelling Completion","2020Q1","Westmeath County Council","Number","83"
"New Dwelling Completion","2020Q1","Wicklow County Council","Number","223"
"New Dwelling Completion","2020Q1","Wexford County Council","Number","141"
"New Dwelling Completion","2020Q2","Cork City Council","Number","140"
"New Dwelling Completion","2020Q2","Clare County Council","Number","70"
"New Dwelling Completion","2020Q2","Cavan County Council","Number","30"
"New Dwelling Completion","2020Q2","Cork County Council","Number","192"
"New Dwelling Completion","2020Q2","Carlow County Council","Number","46"
"New Dwelling Completion","2020Q2","Dublin City Council","Number","252"
"New Dwelling Completion","2020Q2","Dún Laoghaire Rathdown County Council","Number","102"
"New Dwelling Completion","2020Q2","Donegal County Council","Number","98"
"New Dwelling Completion","2020Q2","Fingal County Council","Number","308"
"New Dwelling Completion","2020Q2","Galway County Council","Number","123"
"New Dwelling Completion","2020Q2","Galway City Council","Number","31"
"New Dwelling Completion","2020Q2","Kildare County Council","Number","280"
"New Dwelling Completion","2020Q2","Kilkenny County Council","Number","67"
"New Dwelling Completion","2020Q2","Kerry County Council","Number","57"
"New Dwelling Completion","2020Q2","Longford County Council","Number","17"
"New Dwelling Completion","2020Q2","Louth County Council","Number","190"
"New Dwelling Completion","2020Q2","Limerick City & County Council","Number","64"
"New Dwelling Completion","2020Q2","Leitrim County Council","Number","5"
"New Dwelling Completion","2020Q2","Laois County Council","Number","62"
"New Dwelling Completion","2020Q2","Meath County Council","Number","302"
"New Dwelling Completion","2020Q2","Monaghan County Council","Number","33"
"New Dwelling Completion","2020Q2","Mayo County Council","Number","53"
"New Dwelling Completion","2020Q2","Offaly County Council","Number","25"
"New Dwelling Completion","2020Q2","Roscommon County Council","Number","26"
"New Dwelling Completion","2020Q2","South Dublin County Council","Number","166"
"New Dwelling Completion","2020Q2","Sligo County Council","Number","11"
"New Dwelling Completion","2020Q2","Tipperary County Council","Number","60"
"New Dwelling Completion","2020Q2","Waterford City & County Council","Number","83"
"New Dwelling Completion","2020Q2","Westmeath County Council","Number","55"
"New Dwelling Completion","2020Q2","Wicklow County Council","Number","169"
"New Dwelling Completion","2020Q2","Wexford County Council","Number","112"
"New Dwelling Completion","2020Q3","Cork City Council","Number","324"
"New Dwelling Completion","2020Q3","Clare County Council","Number","112"
"New Dwelling Completion","2020Q3","Cavan County Council","Number","63"
"New Dwelling Completion","2020Q3","Cork County Council","Number","410"
"New Dwelling Completion","2020Q3","Carlow County Council","Number","66"
"New Dwelling Completion","2020Q3","Dublin City Council","Number","388"
"New Dwelling Completion","2020Q3","Dún Laoghaire Rathdown County Council","Number","198"
"New Dwelling Completion","2020Q3","Donegal County Council","Number","131"
"New Dwelling Completion","2020Q3","Fingal County Council","Number","293"
"New Dwelling Completion","2020Q3","Galway County Council","Number","196"
"New Dwelling Completion","2020Q3","Galway City Council","Number","47"
"New Dwelling Completion","2020Q3","Kildare County Council","Number","493"
"New Dwelling Completion","2020Q3","Kilkenny County Council","Number","87"
"New Dwelling Completion","2020Q3","Kerry County Council","Number","181"
"New Dwelling Completion","2020Q3","Longford County Council","Number","31"
"New Dwelling Completion","2020Q3","Louth County Council","Number","147"
"New Dwelling Completion","2020Q3","Limerick City & County Council","Number","138"
"New Dwelling Completion","2020Q3","Leitrim County Council","Number","12"
"New Dwelling Completion","2020Q3","Laois County Council","Number","80"
"New Dwelling Completion","2020Q3","Meath County Council","Number","388"
"New Dwelling Completion","2020Q3","Monaghan County Council","Number","59"
"New Dwelling Completion","2020Q3","Mayo County Council","Number","130"
"New Dwelling Completion","2020Q3","Offaly County Council","Number","43"
"New Dwelling Completion","2020Q3","Roscommon County Council","Number","45"
"New Dwelling Completion","2020Q3","South Dublin County Council","Number","218"
"New Dwelling Completion","2020Q3","Sligo County Council","Number","51"
"New Dwelling Completion","2020Q3","Tipperary County Council","Number","87"
"New Dwelling Completion","2020Q3","Waterford City & County Council","Number","124"
"New Dwelling Completion","2020Q3","Westmeath County Council","Number","59"
"New Dwelling Completion","2020Q3","Wicklow County Council","Number","276"
"New Dwelling Completion","2020Q3","Wexford County Council","Number","162"
"New Dwelling Completion","2020Q4","Cork City Council","Number","316"
"New Dwelling Completion","2020Q4","Clare County Council","Number","132"
"New Dwelling Completion","2020Q4","Cavan County Council","Number","66"
"New Dwelling Completion","2020Q4","Cork County Council","Number","475"
"New Dwelling Completion","2020Q4","Carlow County Council","Number","62"
"New Dwelling Completion","2020Q4","Dublin City Council","Number","909"
"New Dwelling Completion","2020Q4","Dún Laoghaire Rathdown County Council","Number","275"
"New Dwelling Completion","2020Q4","Donegal County Council","Number","225"
"New Dwelling Completion","2020Q4","Fingal County Council","Number","372"
"New Dwelling Completion","2020Q4","Galway County Council","Number","336"
"New Dwelling Completion","2020Q4","Galway City Council","Number","67"
"New Dwelling Completion","2020Q4","Kildare County Council","Number","561"
"New Dwelling Completion","2020Q4","Kilkenny County Council","Number","117"
"New Dwelling Completion","2020Q4","Kerry County Council","Number","249"
"New Dwelling Completion","2020Q4","Longford County Council","Number","34"
"New Dwelling Completion","2020Q4","Louth County Council","Number","172"
"New Dwelling Completion","2020Q4","Limerick City & County Council","Number","182"
"New Dwelling Completion","2020Q4","Leitrim County Council","Number","17"
"New Dwelling Completion","2020Q4","Laois County Council","Number","132"
"New Dwelling Completion","2020Q4","Meath County Council","Number","445"
"New Dwelling Completion","2020Q4","Monaghan County Council","Number","77"
"New Dwelling Completion","2020Q4","Mayo County Council","Number","111"
"New Dwelling Completion","2020Q4","Offaly County Council","Number","85"
"New Dwelling Completion","2020Q4","Roscommon County Council","Number","61"
"New Dwelling Completion","2020Q4","South Dublin County Council","Number","923"
"New Dwelling Completion","2020Q4","Sligo County Council","Number","39"
"New Dwelling Completion","2020Q4","Tipperary County Council","Number","85"
"New Dwelling Completion","2020Q4","Waterford City & County Council","Number","126"
"New Dwelling Completion","2020Q4","Westmeath County Council","Number","91"
"New Dwelling Completion","2020Q4","Wicklow County Council","Number","371"
"New Dwelling Completion","2020Q4","Wexford County Council","Number","210"
"New Dwelling Completion","2021Q1","Cork City Council","Number","194"
"New Dwelling Completion","2021Q1","Clare County Council","Number","60"
"New Dwelling Completion","2021Q1","Cavan County Council","Number","54"
"New Dwelling Completion","2021Q1","Cork County Council","Number","265"
"New Dwelling Completion","2021Q1","Carlow County Council","Number","35"
"New Dwelling Completion","2021Q1","Dublin City Council","Number","366"
"New Dwelling Completion","2021Q1","Dún Laoghaire Rathdown County Council","Number","117"
"New Dwelling Completion","2021Q1","Donegal County Council","Number","84"
"New Dwelling Completion","2021Q1","Fingal County Council","Number","312"
"New Dwelling Completion","2021Q1","Galway County Council","Number","198"
"New Dwelling Completion","2021Q1","Galway City Council","Number","134"
"New Dwelling Completion","2021Q1","Kildare County Council","Number","320"
"New Dwelling Completion","2021Q1","Kilkenny County Council","Number","59"
"New Dwelling Completion","2021Q1","Kerry County Council","Number","130"
"New Dwelling Completion","2021Q1","Longford County Council","Number","23"
"New Dwelling Completion","2021Q1","Louth County Council","Number","174"
"New Dwelling Completion","2021Q1","Limerick City & County Council","Number","125"
"New Dwelling Completion","2021Q1","Leitrim County Council","Number","12"
"New Dwelling Completion","2021Q1","Laois County Council","Number","132"
"New Dwelling Completion","2021Q1","Meath County Council","Number","235"
"New Dwelling Completion","2021Q1","Monaghan County Council","Number","47"
"New Dwelling Completion","2021Q1","Mayo County Council","Number","65"
"New Dwelling Completion","2021Q1","Offaly County Council","Number","51"
"New Dwelling Completion","2021Q1","Roscommon County Council","Number","55"
"New Dwelling Completion","2021Q1","South Dublin County Council","Number","212"
"New Dwelling Completion","2021Q1","Sligo County Council","Number","24"
"New Dwelling Completion","2021Q1","Tipperary County Council","Number","58"
"New Dwelling Completion","2021Q1","Waterford City & County Council","Number","74"
"New Dwelling Completion","2021Q1","Westmeath County Council","Number","97"
"New Dwelling Completion","2021Q1","Wicklow County Council","Number","134"
"New Dwelling Completion","2021Q1","Wexford County Council","Number","117"
"New Dwelling Completion","2021Q2","Cork City Council","Number","154"
"New Dwelling Completion","2021Q2","Clare County Council","Number","119"
"New Dwelling Completion","2021Q2","Cavan County Council","Number","59"
"New Dwelling Completion","2021Q2","Cork County Council","Number","407"
"New Dwelling Completion","2021Q2","Carlow County Council","Number","79"
"New Dwelling Completion","2021Q2","Dublin City Council","Number","396"
"New Dwelling Completion","2021Q2","Dún Laoghaire Rathdown County Council","Number","321"
"New Dwelling Completion","2021Q2","Donegal County Council","Number","124"
"New Dwelling Completion","2021Q2","Fingal County Council","Number","521"
"New Dwelling Completion","2021Q2","Galway County Council","Number","154"
"New Dwelling Completion","2021Q2","Galway City Council","Number","88"
"New Dwelling Completion","2021Q2","Kildare County Council","Number","485"
"New Dwelling Completion","2021Q2","Kilkenny County Council","Number","107"
"New Dwelling Completion","2021Q2","Kerry County Council","Number","102"
"New Dwelling Completion","2021Q2","Longford County Council","Number","24"
"New Dwelling Completion","2021Q2","Louth County Council","Number","165"
"New Dwelling Completion","2021Q2","Limerick City & County Council","Number","137"
"New Dwelling Completion","2021Q2","Leitrim County Council","Number","26"
"New Dwelling Completion","2021Q2","Laois County Council","Number","83"
"New Dwelling Completion","2021Q2","Meath County Council","Number","244"
"New Dwelling Completion","2021Q2","Monaghan County Council","Number","56"
"New Dwelling Completion","2021Q2","Mayo County Council","Number","98"
"New Dwelling Completion","2021Q2","Offaly County Council","Number","49"
"New Dwelling Completion","2021Q2","Roscommon County Council","Number","61"
"New Dwelling Completion","2021Q2","South Dublin County Council","Number","288"
"New Dwelling Completion","2021Q2","Sligo County Council","Number","30"
"New Dwelling Completion","2021Q2","Tipperary County Council","Number","69"
"New Dwelling Completion","2021Q2","Waterford City & County Council","Number","128"
"New Dwelling Completion","2021Q2","Westmeath County Council","Number","66"
"New Dwelling Completion","2021Q2","Wicklow County Council","Number","149"
"New Dwelling Completion","2021Q2","Wexford County Council","Number","188"
"New Dwelling Completion","2021Q3","Cork City Council","Number","151"
"New Dwelling Completion","2021Q3","Clare County Council","Number","87"
"New Dwelling Completion","2021Q3","Cavan County Council","Number","43"
"New Dwelling Completion","2021Q3","Cork County Council","Number","397"
"New Dwelling Completion","2021Q3","Carlow County Council","Number","45"
"New Dwelling Completion","2021Q3","Dublin City Council","Number","371"
"New Dwelling Completion","2021Q3","Dún Laoghaire Rathdown County Council","Number","323"
"New Dwelling Completion","2021Q3","Donegal County Council","Number","109"
"New Dwelling Completion","2021Q3","Fingal County Council","Number","394"
"New Dwelling Completion","2021Q3","Galway County Council","Number","194"
"New Dwelling Completion","2021Q3","Galway City Council","Number","48"
"New Dwelling Completion","2021Q3","Kildare County Council","Number","543"
"New Dwelling Completion","2021Q3","Kilkenny County Council","Number","75"
"New Dwelling Completion","2021Q3","Kerry County Council","Number","110"
"New Dwelling Completion","2021Q3","Longford County Council","Number","17"
"New Dwelling Completion","2021Q3","Louth County Council","Number","159"
"New Dwelling Completion","2021Q3","Limerick City & County Council","Number","145"
"New Dwelling Completion","2021Q3","Leitrim County Council","Number","25"
"New Dwelling Completion","2021Q3","Laois County Council","Number","110"
"New Dwelling Completion","2021Q3","Meath County Council","Number","260"
"New Dwelling Completion","2021Q3","Monaghan County Council","Number","37"
"New Dwelling Completion","2021Q3","Mayo County Council","Number","86"
"New Dwelling Completion","2021Q3","Offaly County Council","Number","60"
"New Dwelling Completion","2021Q3","Roscommon County Council","Number","56"
"New Dwelling Completion","2021Q3","South Dublin County Council","Number","140"
"New Dwelling Completion","2021Q3","Sligo County Council","Number","42"
"New Dwelling Completion","2021Q3","Tipperary County Council","Number","62"
