,Year,County,VALUE
331,2004,Mayo,6.6
332,2005,Mayo,11.2
333,2006,Mayo,14.1
334,2007,Mayo,14.4
335,2008,Mayo,8.7
336,2009,Mayo,0.2
337,2010,Mayo,-3.7
338,2011,Mayo,-9.0
339,2012,Mayo,-8.4
340,2013,Mayo,-6.1
341,2014,Mayo,-2.7
342,2015,Mayo,1.9
343,2016,Mayo,5.1
344,2017,Mayo,6.5
345,2018,Mayo,7.3
346,2019,Mayo,7.1
347,2020,Mayo,7.1
348,2021,Mayo,3.5
349,2022,Mayo,8.1
350,2023,Mayo,12.0
351,2024,Mayo,12.2
352,2003,Meath,24.2
353,2004,Meath,24.8
354,2005,Meath,42.0
355,2006,Meath,53.0
356,2007,Meath,26.8
357,2008,Meath,16.1
358,2009,Meath,0.3
359,2010,Meath,-6.8
360,2011,Meath,3.1
361,2012,Meath,2.9
362,2013,Meath,2.1
363,2014,Meath,0.9
364,2015,Meath,-0.7
365,2016,Meath,-1.8
366,2017,Meath,12.7
367,2018,Meath,14.2
368,2019,Meath,13.9
369,2020,Meath,13.9
370,2021,Meath,6.8
371,2022,Meath,15.9
372,2023,Meath,23.6
373,2024,Meath,24.1
374,2003,Monaghan,7.1
375,2004,Monaghan,7.3
376,2005,Monaghan,12.4
377,2006,Monaghan,15.6
378,2007,Monaghan,24.1
379,2008,Monaghan,14.5
380,2009,Monaghan,0.3
381,2010,Monaghan,-6.1
382,2011,Monaghan,-5.5
383,2012,Monaghan,-5.2
384,2013,Monaghan,-3.8
385,2014,Monaghan,-1.7
386,2015,Monaghan,1.2
387,2016,Monaghan,3.1
388,2017,Monaghan,4.9
389,2018,Monaghan,5.5
390,2019,Monaghan,5.4
391,2020,Monaghan,5.4
392,2021,Monaghan,2.6
393,2022,Monaghan,6.2
394,2023,Monaghan,9.2
395,2024,Monaghan,9.4
396,2003,Offaly,12.9
397,2004,Offaly,13.2
398,2005,Offaly,22.4
399,2006,Offaly,28.3
400,2007,Offaly,15.9
401,2008,Offaly,9.5
402,2009,Offaly,0.2
403,2010,Offaly,-4.0
404,2011,Offaly,-9.4
405,2012,Offaly,-8.8
406,2013,Offaly,-6.4
407,2014,Offaly,-2.8
408,2015,Offaly,2.0
409,2016,Offaly,5.3
410,2017,Offaly,5.2
411,2018,Offaly,5.8
412,2019,Offaly,5.7
413,2020,Offaly,5.7
414,2021,Offaly,2.8
415,2022,Offaly,6.5
416,2023,Offaly,9.7
417,2024,Offaly,9.9
418,2003,Roscommon,13.0
419,2004,Roscommon,13.3
420,2005,Roscommon,22.5
421,2006,Roscommon,28.4
422,2007,Roscommon,33.6
423,2008,Roscommon,20.1
424,2009,Roscommon,0.4
425,2010,Roscommon,-8.5
426,2011,Roscommon,-3.1
427,2012,Roscommon,-2.9
428,2013,Roscommon,-2.1
429,2014,Roscommon,-0.9
430,2015,Roscommon,0.7
431,2016,Roscommon,1.8
432,2017,Roscommon,10.6
433,2018,Roscommon,11.9
434,2019,Roscommon,11.6
435,2020,Roscommon,11.6
436,2021,Roscommon,5.7
437,2022,Roscommon,13.3
438,2023,Roscommon,19.8
439,2024,Roscommon,20.2
440,2003,Sligo,4.4
441,2004,Sligo,4.5
442,2005,Sligo,7.6
443,2006,Sligo,9.6
444,2007,Sligo,19.4
445,2008,Sligo,11.7
446,2009,Sligo,0.2
447,2010,Sligo,-4.9
448,2011,Sligo,-10.0
449,2012,Sligo,-9.4
450,2013,Sligo,-6.9
451,2014,Sligo,-3.0
452,2015,Sligo,2.2
453,2016,Sligo,5.7
454,2017,Sligo,8.1
455,2018,Sligo,9.0
456,2019,Sligo,8.8
457,2020,Sligo,8.8
458,2021,Sligo,4.3
459,2022,Sligo,10.1
460,2023,Sligo,15.0
461,2024,Sligo,15.3
462,2003,Tipperary,6.6
463,2004,Tipperary,6.7
464,2005,Tipperary,11.4
465,2006,Tipperary,14.4
466,2007,Tipperary,13.3
467,2008,Tipperary,8.0
468,2009,Tipperary,0.2
469,2010,Tipperary,-3.4
470,2011,Tipperary,-10.3
471,2012,Tipperary,-9.6
472,2013,Tipperary,-7.0
473,2014,Tipperary,-3.1
474,2015,Tipperary,2.2
475,2016,Tipperary,5.8
476,2017,Tipperary,4.3
477,2018,Tipperary,4.8
478,2019,Tipperary,4.7
479,2020,Tipperary,4.7
480,2021,Tipperary,2.3
481,2022,Tipperary,5.4
482,2023,Tipperary,8.0
483,2024,Tipperary,8.2
484,2003,Waterford,4.6
485,2004,Waterford,4.8
486,2005,Waterford,8.1
487,2006,Waterford,10.2
488,2007,Waterford,2.1
489,2008,Waterford,1.2
490,2009,Waterford,0.0
491,2010,Waterford,-0.5
492,2011,Waterford,-7.2
493,2012,Waterford,-6.7
494,2013,Waterford,-4.9
495,2014,Waterford,-2.2
496,2015,Waterford,1.6
497,2016,Waterford,4.1
498,2017,Waterford,10.8
499,2018,Waterford,12.1
500,2019,Waterford,11.9
501,2020,Waterford,11.9
502,2021,Waterford,5.8
503,2022,Waterford,13.6
504,2023,Waterford,20.2
505,2024,Waterford,20.6
506,2003,Westmeath,10.7
507,2004,Westmeath,10.9
508,2005,Westmeath,18.6
509,2006,Westmeath,23.4
510,2007,Westmeath,14.7
511,2008,Westmeath,8.8
512,2009,Westmeath,0.2
513,2010,Westmeath,-3.7
514,2011,Westmeath,-3.8
515,2012,Westmeath,-3.5
516,2013,Westmeath,-2.6
517,2014,Westmeath,-1.1
518,2015,Westmeath,0.8
519,2016,Westmeath,2.1
520,2017,Westmeath,6.9
521,2018,Westmeath,7.7
522,2019,Westmeath,7.5
523,2020,Westmeath,7.5
524,2021,Westmeath,3.7
525,2022,Westmeath,8.6
526,2023,Westmeath,12.8
527,2024,Westmeath,13.1
528,2003,Wexford,14.6
529,2004,Wexford,15.0
530,2005,Wexford,25.5
531,2006,Wexford,32.1
532,2007,Wexford,27.7
533,2008,Wexford,16.6
534,2009,Wexford,0.3
535,2010,Wexford,-7.0
536,2011,Wexford,0.7
537,2012,Wexford,0.6
538,2013,Wexford,0.4
539,2014,Wexford,0.2
540,2015,Wexford,-0.1
541,2016,Wexford,-0.4
542,2017,Wexford,10.6
543,2018,Wexford,11.9
544,2019,Wexford,11.6
545,2020,Wexford,11.6
546,2021,Wexford,5.7
547,2022,Wexford,13.3
548,2023,Wexford,19.8
549,2024,Wexford,20.2
550,2003,Wicklow,9.6
551,2004,Wicklow,9.8
552,2005,Wicklow,16.7
553,2006,Wicklow,21.1
554,2007,Wicklow,9.4
555,2008,Wicklow,5.7
556,2009,Wicklow,0.1
557,2010,Wicklow,-2.4
558,2011,Wicklow,-1.1
559,2012,Wicklow,-1.0
560,2013,Wicklow,-0.7
561,2014,Wicklow,-0.3
562,2015,Wicklow,0.2
563,2016,Wicklow,0.6
564,2017,Wicklow,9.2
565,2018,Wicklow,10.4
566,2019,Wicklow,10.1
567,2020,Wicklow,10.1
568,2021,Wicklow,5.0
569,2022,Wicklow,11.6
570,2023,Wicklow,17.2
571,2024,Wicklow,17.5
